sentence,label
miền bắc miền trung miền nam miền việt_nam xdf phân_biệt miền,ủng hộ
miền bắc chào miền nam ta lm ơn đừng phân_biệt vùng miền nx câu đáy người,ủng hộ
parky namkiki trungki anh_em ta monkey,phân biệt
bắc_nam mày tư chút hộ,ủng hộ
quên hồ dạy,khác
nam bắc,ủng hộ
mấy miềng được sống đừng chia_rẽ đoàn_kết đất nam bắc đìu việt_nam đừng em ta định_hướng sai_trái nam bắc,ủng hộ
ta gì chửi_rủa cắn đoàn_kết tiến,ủng hộ
mấy bọn cali,phân biệt
má mày thằng nguỵ,phân biệt
bắc trung nam việt_nam,ủng hộ
đạo_lý,khác
bắc trung nam phân_biệt vùng miền,ủng hộ
ok hoà vời namkiki,phân biệt
nam với bắc trái miền trung tôi mắc phân_chia chi vậy,khác
mấy thàng miền nam đu với cua không,phân biệt
parky cay,phân biệt
,khác
ok parky tao thằng parky đi giúp_đỡ hoàn_cảnh khăn chờ ta giúp cướp nghèo ok nha parky,khác
nam bắc_trung,ủng hộ
party,phân biệt
ke,phân biệt
tổ_quốc lý_tưởng hồ vĩ_đại dọn_dẹp đống rác giới đợi,khác
tôi bắc_mê giọng nam vãi cute,khác
miền trung miền bac nam viet nam mãi đỉnh,ủng hộ
tiktok không parky cấm xúc_phạm hành_vi tiêu_cực mấy bình_luận bth đánh tiêu_cực,khác
bắc_nam,ủng hộ
ad lọc bình_luận mấy đứa phân_biệt vùng miền đi,khác
tayduky,khác
tụi mày namki được tụi tôi packy phân_biệt vùng miền packy packy mãi đỉnh,phân biệt
giải_quyết vấn_nạn phân_biệt miền,ủng hộ
miền nam lành đéo gì,phân biệt
miền nam chào miền bắc,khác
bắc trung nam,ủng hộ
parky bực_bội,phân biệt
tham_quan,ủng hộ
parky cay,phân biệt
lai phân_biệt việt_nam hoà_đồng được,ủng hộ
nam bắc ta lực thể chia_cắt,ủng hộ
miền tây nghèo cười thành_phố hồ_chí_minh dịch được gọi parky quy_chụp hài,phân biệt
chat parky thể_hiện tôn_trọng yêu buồn,khác
bắc_nam sum_họp,ủng hộ
yêu tổ_quốc yêu đồng_bào,ủng hộ
haiz,khác
việt_nam_thống hoà_bình,ủng hộ
bây đừng phân_biệt miền cảm_giác kỳ_thị tả tau nghệ_an vô nam hấn ghét lắm nhưng_mà tôi qtam,khác
carly đấy,phân biệt
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
bùn hoá kìa zin,khác
việt_nam kà paky,phân biệt
zị,khác
việt_nam dân_tộc việt_nam sông thể cạn núi thể mòn song chân_lý bao thay_đổi chủ_tịch hồ_chí_minh,ủng hộ
parky phân biệc miền,khác
patky giàu zô nam cá gỗ đi,phân biệt
bắc_trung,ủng hộ
mẹ baky,phân biệt
đi nam bắc chứa hàng triệu trái_tim việt_nam,ủng hộ
namkiki chào ace,phân biệt
cali giỏi tv,phân biệt
tôi tayduky chào miền nam bắc nhá,khác
bakes,phân biệt
mày giải_phóng miền nam bắc đi,phân biệt
party đê bia nhá riệu,phân biệt
chiến_tranh xảy đánh giặc,khác
,khác
hậu giáo_dục không chốn thành không xứng người việt_nam,khác
nhây hoài,khác
parky,phân biệt
chửi tao narky phát tao kaka bọn cay,phân biệt
parky,phân biệt
vtv miền trung búc xúc mấy,khác
học ngu không được hồ dạy yêu tổ_quốc yêu đồng_bào,khác
parky nhột,phân biệt
xưa chiến_sĩ miền bắc giúp miền nam giải_phóng xong giới trẻ mạng sơ_hở parky,khác
đọc bình_luận bất_lực_thức tệ_hại thành vô hc mạng xã_hội,khác
yêu miền nha,ủng hộ
parky lắm,phân biệt
thay chửi bọn động anh_em_thể bình_luận giải bọn mấy thằng hề cận huyết,khác
haiz tht tội_nghiệp sv mồ_côi không hc ls,khác
phân_biệt vùng miền nốt vấn_đề pb dân_tộc đi,khác
naiky,phân biệt
giặc đói giặc dốt,khác
việt_nam đồng_bào,ủng hộ
tất bắc_nam câu sống đất dạy không,khác
pakry phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
mong thức phân_biệt miền,ủng hộ
bắc trung nam,ủng hộ
nam bắc,ủng hộ
thể bọn thành_công lớp ghét miền kia giải anh_em miền thông_cảm,khác
bắc trung nam anh_em bọn parky bọn thực_dân,ủng hộ
vtv mày toi rồi,khác
trungky chào anh_em parky,phân biệt
không việt_nam,ủng hộ
rồi miền bắc nc miền nam nc pk đứa namky đứa parky mốt trungky không mấy đứa hc lịch_sử chx,khác
parky,phân biệt
bảo mấy em không gì may dương giải,khác
ui juan,khác
bắc lắm không thân_thiện nam_trung,phân biệt
người miền nam thợ_săn parky ngại,phân biệt
bắc trung nam mãi_mãi,ủng hộ
tây nội_địa pịa cali mày cố chia_rẽ cố nịnh bố mẽo mày đi đuổi thành lũ vô_gia_cư,phân biệt
parky hàn nhật sợ,phân biệt
parky cay,phân biệt
parky,phân biệt
thần_linh vốn bình_đẳng cá không phân_biệt địa_vị thánh tổ đại việt,khác
hào việt_nam cháu hồ,ủng hộ
yêu bắc trung nam,ủng hộ
parky cay,phân biệt
bắc_nam,ủng hộ
yêu bắc_nam,ủng hộ
,khác
đời hi_sinh dân giờ toàn gì không,khác
giảng động_vật tiếng hoá nè giặt đô_hộ đặc mik đô_hộ không,khác
hào parky bọn cali,phân biệt
nam quốc sơn_hà nam đế cư tuyệt_nhiên định phận thiên thư hà nghịch lỗ lai xâm_phạm nhữ đẳng hành khan thủ bại hư,ủng hộ
parky cay,phân biệt
văn_hoá trc giờ kém ta mãi miệt_thị mấy bắc ok lắm học,phân biệt
tổ_quốc việt_nam anh_em,ủng hộ
nam_trung bắc dải đất chữ dân_tộc việt cháu vua hùng đừng tổn_thương,ủng hộ
bắc_nam ta,ủng hộ
dạo nổi tụi nhai vậy cá_nhân rồi tụi học vậy,khác
vậy rồi bạn vậy,khác
em lỗi dương nha e_sợ giận em bắc phân_biệt miền nam bọn em,phân biệt
oke parky,phân biệt
parky bọn tao sợ mấy thằng tộc anibaba tộc mấy tk tộc ngọng tộc,phân biệt
miền nam tiếc bình_luận tiêu_cực vầy thành lỗi miền bắc_nam bắc,ủng hộ
dân ta máu đỏ da vàng_lá cờ việt_nam xưa kia chiến_đấu mục_đích bình_yên đất hoà_bình,ủng hộ
bắc trung nam,ủng hộ
tôi miền tây cực miền trung cực phục người miền bắc hơiz,ủng hộ
thất_vọng giới trẻ hiện,khác
bắc trung nam,phân biệt
phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
mạng oai lắm đời không dám,khác
miền nam không phân_biệt miền bọn phân_biệt miền bọn lực thù_địch chia_rẽ dân_tộc vô miền nam đi nam bắc,ủng hộ
haiz,khác
parky,phân biệt
sinh_vật tui gọi thú,phân biệt
đa nam chế_độ cũ,phân biệt
chả thức xã_hội việt_nam,khác
bọn cali được,phân biệt
đừng miệt_thị được không,ủng hộ
parky đạo_lý,phân biệt
gia kỳ nam bắc,ủng hộ
nhào đừng phân_biệt cháu hồ,ủng hộ
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
tui mấy em nè tôi thành_phố hồ_chí_minh hiệu không bắc xấu tui da co may em mien bắc choi nét sony tầng_lớp,ủng hộ
thằng củ quy_chụp hả,phân biệt
toàn người bắc tiếng bọn tôi nam nhắn mắt ngơ kiểu đồng quan,phân biệt
thắng vua thua nail,phân biệt
bọn tôi được giải_phóng trc mày,phân biệt
miền nam mãi đỉnh parky kêu chửi nam chi phân_biệt rồi,phân biệt
việt_nam không phân_biệt miền bất_kỳ không phân_biệt sấu,ủng hộ
bắc trung nam đừng phân_biệt vùng miền,ủng hộ
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
phân_biệt miền chán,ủng hộ
nhiên parky giải parky,khác
thời chiến_tranh miền bắc_nam đánh_đuổi giặc cx người_người xấu anh_em huống_chi mẹ,khác
y_chang bọn tộc tộc kia vz,khác
may parky,phân biệt
naiky,phân biệt
miền bắc miền trung miền nam miền việt_nam xdf phân_biệt miền,ủng hộ
câu tụi parky china tham_ô biển đảo biên_giới,phân biệt
tao tayduky,khác
diamond vtv sờ_gáy ròi,khác
mấy bé ac clone xong bình_luận sợ sợ bọn thương_hại tí,khác
parky hồ dạy yêu tổ_quốc yêu đồng_bào,ủng hộ
miền bắc miền nam gank miền trung kiểu nh mày đồng_bào vậy không miền bắc miền nam bây_giờ không tồn,ủng hộ
tôi không gọi parky đấy bọn namky bh gì,phân biệt
hồ_thất_vọng dân miền nam mik,khác
việt_nam,ủng hộ
bắc trung nam việt_nam,ủng hộ
cali,phân biệt
tik tok việt_nam toàn kid anh_em lơ nhục thói,khác
phân_biệt miền del vui,khác
hồ dạy yêu tổ_quốc yêu đồng_bào phân_biệt miền,ủng hộ
dân_tộc việt_nam phân_biệt miền,ủng hộ
parky,phân biệt
tôi bắt_đầu hơi ghét miền nam rồi,phân biệt
thương lớp trẻ kiến_thức_lực thù_địch lợi_dụng kế_hoạch,khác
folow tiktok,khác
bọn phân_biệt vùng miền toàn nít hùa không,khác
mắc parky chi,phân biệt
parky phóng_khoáng an_nhàn rực_rỡ khoẻ yêu,khác
bắc triều_tiên nam hàn_quốc,khác
miền nam quý_mến miền bắc,ủng hộ
trời,khác
nam bắc,ủng hộ
trẻ việt_nam bây toàn phe pháp,khác
chả trend lỏ pảky namky,phân biệt
phân_biệt miền được phân_biệt miền miền bắc,phân biệt
không ghét miền bắc câu vậy tr,khác
nhựt võ parky phá_hoại cháo đá bát rồi rô không không yeu yêu trung_quốc,phân biệt
anh_em việt_nam ta không phân_biệt miền tụi cali khát hẹo kiểu parky parky namkiki,phân biệt
tụi namkiki tức ói máu chỗ chui nhục lắm,phân biệt
bao tư_tưởng phân_biệt miền dân_tộc,ủng hộ
hồ vĩ_đại miền trung không liên_quan parky,phân biệt
bạn không cx sửa,khác
tụi không hỉu gì cx vậy thằng,khác
nóichuẩn lắm,khác
tụi gọi người nam key,phân biệt
tôi không bạn học phân_biệt miền không bắc không nam bạn được hnay không,ủng hộ
giới trẻ parky namkiki,khác
mấy thằng namky bắc_nam,phân biệt
chờ mãi vtv tiếng,khác
narnky,phân biệt
dời ac clone npc bắt được đống đứa,khác
miền bắc giỏi văn_minh tiếp_xúc giỏi văn_minh ch cộc_cằn khôn đểu,phân biệt
việt_nam anh_em miền,ủng hộ
tui mấy em nè tôi thành_phố hồ_chí_minh hiệu không bắc xấu tui da co may em mien bắc choi nét sony tầng_lớp,ủng hộ
namki hehe,phân biệt
chẳng việt_nam phát_ngôn phân_biệt miền miền hi_sinh đất hoà_bình,khác
parky namki tôi monkey,phân biệt
namki,phân biệt
nghệ_an gọi kỳ,khác
hồ dạy yêu tổ_quốc yêu đồng_bào học_tập lao_động đoàn_kết kỹ luật gìn vệ_sinh khiêm_tốn dũng_cảm,ủng hộ
việt_nam toàn gì không toàn thằng phản phân_biệt miền tao bắc tao miền nam được,khác
parky đồng_bào ta đấu_đá toxic thoải_mái,khác
mạng parky namky trungky đời tha lỗi,khác
lực thể chia_cắt nam bắc yêu việt_nam,ủng hộ
parky this that tui quản_lý lãnh_đạo parky khăn thiệt phát_biểu dân namky tui,phân biệt
giặc dốt giặc ngu xâm_lăng mong cứu,khác
nam bắc,ủng hộ
tiktok không cấm bình_luận bthuong tố_cáo,khác
kid parky,khác
tiktok khoá tài_khoản sử_dụng ngữ phân_biệt miền,ủng hộ
narky,phân biệt
cali học,phân biệt
đứa phân_biệt đứa không,khác
parky tụi tôi pịa,phân biệt
anh_em,ủng hộ
khóc,khác
phân_biệt miền nguy_hại an_ninh trị đất_nhẹ hậu,khác
cali,phân biệt
,khác
chia zui đi vi cháu hk fai người parky fai zui chư bùn gì,phân biệt
đoàn_kết đoàn_kết đại_đoàn_kết thành_công thành_công đại thành_công,ủng hộ
tao không ghét parky không chổ thịt cá không đi cá_rô,phân biệt
ôi vaiz parky ngôn_ngữ được mấy học không thấm được não mồ_côi mẹ trường_hợp được,khác
namki,phân biệt
mảnh đất hình chữ máu đổ hôm phân_biệt bắc_nam không,ủng hộ
ngại dùm,khác
nam_trung bắc,ủng hộ
yêu tổ_quốc yêu đồng_bào,ủng hộ
parky,phân biệt
tụi parky cận huyết không miền nam,phân biệt
tiktok khoá tài_khoản sử_dụng ngữ phân_biệt miền,ủng hộ
đừng phân_biệt bắc kì nam kì rồng cháu tiên đất não không đầu mọc tóc,ủng hộ
miền nam gọi kỳ miền bắc kêu_gọi xưa bạn kỳ sồn_sồn,phân biệt
việt_nam đồng_bào,ủng hộ
nam bắc mãi_mãi,ủng hộ
lỗi miền nam monky hú hú há há,phân biệt
yêu tổ_quốc yêu đồng_bào học_tập lao_động đoàn_kết kỷ_luật vệ_sinh khiêm_tốn dũng_cảm,ủng hộ
miền anh_em ta việt_nam,ủng hộ
namky chào parky,phân biệt
bọn cận huyết,phân biệt
ta anh_em phân_biệt miền,ủng hộ
miền bắc miền nam bảo_vệ tổ_quốc chiến_dịch toàn hưởng_ứng không miền bắc giải_phóng,ủng hộ
video ns trò trẻ toàn trẻ không chấp lm gì,khác
cali học,phân biệt
miền bắc miền nam gank miền trung kiểu nh mày đồng_bào vậy không miền bắc miền nam bây_giờ không tồn,ủng hộ
phân_biệt vùng miền việt_nam đi,khác
trò mấy thằng like câu view lập bọn trẻ tranh_luận quan_tâm,khác
bắc trung nam phân_biệt vùng miền chẳng không,khác
parky bắc trung nam việt_nam spam câu,ủng hộ
namkiki,phân biệt
parky namki trungki ta đừng phân_biệt miền,ủng hộ
parky giải,phân biệt
thời đi ah,khác
paky anh_em pk đi truy_quét nguỵ với cali truy_quét bọn đu khát,phân biệt
câu suy ngẩm không đánh_đồng người miền bắc miền trung gì miễn miền tây jup đỡ hỗ_trợ mong cs không cư_xử kiểu,ủng hộ
parky namki nambắc,ủng hộ
muộn vụ vtv cháu phường nộp phạt lắm,khác
mạng đời,khác
dở parky đừng quan_tâm câu chửi ngược,khác
namki chào parky nhá,phân biệt
hồ bắc đấy tụi bây parky parky,khác
parky tiếng,phân biệt
bọn cận huyết,phân biệt
mạng vậy thoi đường,khác
miền việt_nam,ủng hộ
miền nam đi phân_biệt miền dân chí miền nam học_thức kém,phân biệt
parky trungki namki anh_em god ending chào miền bắc miền trung nha,ủng hộ
mấy vid mấy parky nhưng_mà bình_luận đấy tụi sống sung_sướng quên công_lao cũ,khác
việt_nam đừng phân_biệt bắc trung nam trẻ đổ bao_nhiêu xương_máu đất hoà_bình em học_tập thân,ủng hộ
parky,phân biệt
miền nam không bao bọn parky,phân biệt
bắc không thik bắc,phân biệt
parky this that tôi toàn dân không vậy lạ đi toàn không,phân biệt
parky chào namki với trungki nhá,phân biệt
parky thực_dân pháp gọi đồng_bào miền bắc hổ trợ miền nam ta gọi mỉa_mai kì_thị nam bắc,ủng hộ
nam bắc đoàn_kết anh_em tất_nhiên anh_em_hoá hồ dạy,ủng hộ
nam bắc phân_biệt miền,ủng hộ
bọn đế_quốc đi đám lai_căng,khác
parky cay lắm,phân biệt
kệ bno mạng thằng đời,khác
đọc bình_luận xúc lắm bất_lực thực,khác
toàn bọn cali namkiki bình_luận,phân biệt
bắc_nam,ủng hộ
rep bình_luận tụi gì toàn bọn cali bọn trung ac clone rồi bình_luận mày chửi bình_luận nổi đừng qtam lặng,phân biệt
phân_biệt cháu hồ miền nam toàn bắc,ủng hộ
bọn đa gốc bắc duoi pháp đa ma,phân biệt
đmn miền trung miền nam đánh parky,phân biệt
bắc trung nam,ủng hộ
parky,phân biệt
giải_phóng nam key,khác
party,phân biệt
đơn_giản miền trung ngập lũ chửi miền hahahah,khác
party cá_rô_phi,phân biệt
cay rồi,khác
parky miền nam xưa miền nam parky đói,phân biệt
chuẩn nha,khác
paris namkiki cali bắc trung nam dân_tộc anh_em,ủng hộ
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
parky,phân biệt
kêu nam kỳ hễ bắc kỳ ẳng kêu nam kỳ bắc kỳ phân_biệt miền,phân biệt
tôi lai_châu sài_gòn học đại_học kì_thị,khác
party,phân biệt
miền bắc thử tôi mấy đứa cali,phân biệt
parky,phân biệt
bắc_trung,ủng hộ
toàn bọn nguỵ cay,phân biệt
nam bắc,ủng hộ
em_em người hoá,khác
lũ parky quơ đũa nắm,phân biệt
bắc_trung,ủng hộ
bắc_nam_lực thể chia_rẽ,ủng hộ
slay bọn sinh_vật,phân biệt
namkiki cx lắm,phân biệt
khoản nghị_định nđ cp,ủng hộ
chán bọn hệ,khác
biết_mấy đứa bình_luận parky cay,khác
phân_biệt miền packy namky chửi học_thức trẻ xây_dựng đại dân_tộc việt_nam,ủng hộ
parky tuyệt_chủng,phân biệt
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương không,khác
bắc vô nam nối_liền nắm,ủng hộ
toàn ac clone không tổ_chức,khác
bắctrungnamhải đảo,ủng hộ
đoàn_kết đoàn_kết đại_đoàn_kết thành_công thành_công đại thành_công,ủng hộ
yêu tổ_quốc yêu đồng_bào,ủng hộ
tui nai phan biệt miền bây phân_biệt miền thương tui miền tây,ủng hộ
ta phân_định ràng bắc parky thằng già parky,phân biệt
việt_nam,ủng hộ
sinh_vật,khác
vậy mấy đứa cứng_đầu vô bình_luận parky,khác
phân_biệt miền chán,ủng hộ
củng phân_tích đấy im_lặng đừng tim,khác
bắc trung nam tôi dô đuổi ngộ tưởng,khác
kia cội dân_tộc lịch_sử đất chả phân_biệt miền,ủng hộ
vụ được vtv,khác
miền nam chào khắp đất nhá,ủng hộ
mong phạt phạt tiền mấy đứa mõm mạng đấy,ủng hộ
miền nam tiếc bình_luận tiêu_cực vầy thành lỗi miền bắc_nam bắc,ủng hộ
bình_luận toàn cali tap thoải_mái tôi kid,phân biệt
đọc bình_luận mấy thua parky với chả namkiki,khác
nam bắc ta lực thể chia_cắt,ủng hộ
parky kệ góp đất tổ_quốc gọi đoàn_kết,phân biệt
gà mẹ hoài_đá,ủng hộ
thân bắc kêu parky học học phân_biệt vùng miền,ủng hộ
bọn cali ghê,phân biệt
namky cay,phân biệt
nam bắc,ủng hộ
ta anh_em đừng parky chia_rẽ ta,ủng hộ
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
parky cay haha,phân biệt
đầu em tưởng tiếng,khác
tồn cs lẽ đất ta không,khác
kiểu sâu rầu nồi canh người bắc ồn thiệt không ưa,phân biệt
ta gọi đồng_bào,phân biệt
bắc trung nam người_người kia việt_nam,ủng hộ
nam bắc mãi_mãi,ủng hộ
tôi người miền nam kỳ_thị miền bắc không hầu đa tưởng tôi tao chẳng ưa tụi mày,phân biệt
hồ dạy yêu tổ_quốc yêu đồng_bào,ủng hộ
,khác
bọn mấy bọn pặc ký mấy thk batman,phân biệt
parky pịa đi,phân biệt
thân bắc kêu parky học học phân_biệt vùng miền,ủng hộ
parky this that tui quản_lý lãnh_đạo parky khăn thiệt phát_biểu dân namky tui,phân biệt
dạo lướt tik tok cắn miền bắc tao miền trung,khác
hào miền đừng ta gọi sinh xấu_hổ,ủng hộ
mấy thằng cali cá_rô đồng tưởng hải_sản đại_dương,phân biệt
việt_nam,ủng hộ
tôi parky dậy,khác
tụi bây dừng đi đừng hở tí parky parky kia parky parky parky parky parky hoài,phân biệt
hoá hào quê_hương,khác
tổ_tiên ta hy_sinh độc_lập lãnh_thổ bây phân_biệt miền buồn,ủng hộ
parky cay,phân biệt
nam_trung bắc,ủng hộ
hai vậy miền nam nè vợ miền bắc thời_đại phát_triển phân_biệt,khác
đọc bình_luận cười,khác
bọn giỏi đi mạng mõm,khác
game ns phân_biệt miền,khác
namki,phân biệt
tao tức tụi phân_biệt tao game bắc trung nam tôi hoà_đồng thương,ủng hộ
tất thằng_vũ,khác
hồ dậy yêu tổ_quốc yêu đồng_bào,ủng hộ
gia_đình phân_biệt phân_biệt bình,phân biệt
ok parky mãi,phân biệt
bọn đi học biết gì hồ câu vị vua hùng công dựng nc cháu ta công nc,khác
parky gì tôi_tối cổ vậy,khác
mấy thằng namky bắc_nam,phân biệt
đời đi cứu bây,khác
cali,phân biệt
party,phân biệt
yêu tổ_quốc yêu đồng_bào thằng không học hồ dạy,khác
sinh_vật xác,phân biệt
ta hi_sinh miền đất bây,ủng hộ
namky,phân biệt
toàn lũ nít mọc lông,khác
parky,khác
thực miền nam gốc hầu miền nam hiện miền bắc đi cư kỷ trở tổ_tiên miền nam miền bắc,khác
miên nam khinh_bỉ phân_biệt miền bắc_nam,ủng hộ
thề miền bắc mấy miền nam vui thương tr,ủng hộ
namki chào parky nhá,phân biệt
toàn bọn tâm_lí gì không,khác
haiz hồ rồi,khác
xấu phân_biệt miền chủ_yếu bọn phản_động âm_mưu chia_rẽ đoàn_kết dân_tộc tỉnh_táo,ủng hộ
parky hà_nội parky sủa,phân biệt
cùg anh_em phân_biệt,ủng hộ
oi,khác
miền bắc au hiền trường bắc thương_yêu_cầu tí áp,ủng hộ
bắc kỳ trung kỳ nam kỳ tất sống đất yêu_thương,ủng hộ
mấy cháu học cm pk,khác
parky namki trungki ta đừng phân_biệt miền,ủng hộ
