Index,Content,True_Label,Predicted_Label
1645,máu vua hùng hồ_chủ_tịch mồm parky namky,0.0,1.0
2029,kid lỏ parky,1.0,0.0
7247,gia kỳ,0.0,1.0
3318,giả câm nam miền bắc sống thử đi sẻ câu nam sông đi sẻ cảm nhục kia,1.0,0.0
3410,video sinh_vật lạ,0.0,1.0
7585,parky phân biệc miền,0.0,1.0
14828,phân biệt vùng miền,2.0,0.0
4166,tụi sinh_vật không bè trúng mũi uất_hận,0.0,1.0
6455,yêu tất sống đồ hinh chữ,0.0,2.0
1854,đa thắng thiểu,0.0,1.0
4704,cầu quãng trị chia_cắt hai miền nam bắc suốt,0.0,2.0
8434,chống phân_biệt miền,0.0,2.0
3553,sinh_vật không,0.0,1.0
7967,anh em miền,0.0,2.0
2600,tik tard pa ky pa ky riu lif,0.0,1.0
1476,miền triều_tiên hàn_quốc miền nam triều_tiên miền bắc,0.0,2.0
9101,mấy đứa kali,1.0,0.0
3120,bình luận toàn parky,1.0,0.0
8868,bắc trung nam,1.0,2.0
6488,chuẩn miền việt nam,0.0,2.0
5453,hồ vĩ_đại miền trung không liên_quan parky,1.0,0.0
4507,anh em bình_tĩnh,0.0,2.0
5799,lý_tưởng hồ_chí_minh,0.0,2.0
992,phân_biệt miền nam rét bất_kỳ nguoi ghét ghét ghét ghét miền,1.0,0.0
5915,yêu tổ_quốc yêu đồng_bào,0.0,2.0
3126,parky miền nam,0.0,1.0
6605,bình luận phân_biệt miền não toàn chubi,1.0,0.0
6676,miền đường dám hai parky,0.0,1.0
2760,trung_bình_cộng đồng mạng việt nam,0.0,2.0
7710,tả kỳ,0.0,1.0
2777,parky,0.0,1.0
8122,trung binh tiktok tôi parky namkiki,0.0,1.0
1644,gọi tôi namky coi tụi tôi cay không,0.0,1.0
3625,bắc tôn_trọng trung nam,0.0,2.0
2272,parky cali,0.0,1.0
8307,por nghèo agresive hung_hăng rudely bất lịch thô_lỗ kingcraft vua lừa_đảo yob niên côn_đồ dằn,1.0,0.0
8624,lý ghét nhiên phân biệt vùng miền,1.0,0.0
6323,bắc không giúp nam nam mắt nam không mắt lun,0.0,2.0
6730,phân_biệt trung kỳ giọng miền trung chửi paky,1.0,0.0
1088,cx bọn lừa_đảo điện_thoại lừa_đảo tôi máy giọng miền nam,1.0,0.0
11890,bình luận phân_biệt miền não toàn chubi,1.0,0.0
9145,kêu parky chửi_bới bọn nhảy_dựng giải thichd,1.0,0.0
37,mày giải_phóng miền nam bắc đi,1.0,0.0
11640,không miền bắc giờ miền nam bọn cambodia,1.0,0.0
2201,mày nghĩa parky không,0.0,1.0
4368,miền nam buồn phụ_huynh bình luận kỳ_thị bắc,0.0,2.0
8546,miền nam tiếc bình luận tiêu_cực vầy thành lỗi miền bắc_nam bắc,0.0,2.0
8038,sivi parky,0.0,1.0
4604,mãi idol chuẩn mk mong mấy sinh_vật kia spam anh em chửi chán,1.0,0.0
3618,vãi sinh_vật,0.0,1.0
6759,dạo lướt top top xúc parky parky,0.0,1.0
8018,trung binh tre trau thay người ta dung den minh bili parky parky,0.0,1.0
6907,không namky nhỡ biết hơi giận hơi,0.0,1.0
8681,cay,1.0,0.0
7430,việt_nam ta dân_tộc ta,0.0,2.0
334,nailky lo chà chân ngửi rắm tây không dí bây,1.0,0.0
6863,party phóng_khoáng an_toàn rồi rực rở tôi thông_minh yên_tâm nha,0.0,1.0
1490,đơn_giản bọn lun anh em miền nam ghet sở bạn chê_bai đồ ngt chê ngt nghèo người miền nam mtay không ghét gi,1.0,0.0
1948,chửi namki,0.0,1.0
5697,nhiên gọi người đàng_hoàng lịch parky không,0.0,1.0
5285,parky miền bắc,0.0,1.0
8724,câu hồ dậy yêu tổ_quốc yêu đồng_bào miệng yêu tổ_quốc đồng_bào,0.0,2.0
3735,tao party nè,0.0,1.0
2515,xời chán nhể sinh nam mẹ sinh trung sinh bắc,0.0,2.0
7892,miền nam tổ_tiên miền bắc khai_hoang bày phân biệt vùng miền hài,0.0,2.0
2894,mém đấm thag parky,0.0,1.0
1983,namky,0.0,1.0
1438,la nguoi parky mjh la parky parky không parky sống không co đạo_đức,0.0,1.0
8887,bắc_trung,1.0,2.0
1113,bac bi bố_láo moi người vo cuop mien nam,1.0,0.0
6434,suốt parky cm cội việt nam bắt khởi_đầu văn lang lãnh_thổ chút_xíu khu_vực miền bắc mãi thời trịnh nguyễn_chúa nguyễn rộng lãnh_thổ,0.0,1.0
4114,cãi tí biến đoàn_kết,0.0,2.0
7757,dương tiếng tiếng miền tây parky cay of,0.0,1.0
920,lửa khói dưng người ta phân_biệt,1.0,0.0
1471,tổ_tiên kinh miền nam miền bắc bắc đi miền nam chăm khmer thượng đi,1.0,0.0
11279,gọi sinh_vật,1.0,0.0
7660,ngộ gọi miền nam toàn cali không gọi parky nhảy đành_đạch bảo phân_biệt miền hài,0.0,1.0
6043,kì_thị miền lắm,0.0,1.0
3636,tri_thức nc hẳn,0.0,1.0
7306,parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương cảm_ơn cali,1.0,0.0
1910,parky namkiki vô_học,0.0,1.0
5378,mienbacmienam parky namky bactrungnam party,0.0,1.0
6208,tao không chiến mấy thằng cali spam bắc vô nam không phân biệt vùng miền mấy thằng nhóc cali,1.0,0.0
9227,đẳng,1.0,0.0
5874,mặt việt_nam,0.0,2.0
10022,tôi không gọi parky đấy bọn namky bh gì,1.0,0.0
5093,hồ dạy,0.0,2.0
3473,sinh_vật hợp_lý,0.0,1.0
11275,lý ghét nhiên phân biệt vùng miền,1.0,0.0
7668,tôi miền nam bồ tao miền bắc,0.0,2.0
6637,bảo hoá_trị quốc_kỳ,1.0,0.0
5023,anh em nam bắc đoàn_kết đừng bọn dắt_mũi,0.0,2.0
8196,trăm bắc_nam bây,0.0,2.0
4404,líp sinh_vật miền nam nhân_hậu bao_dung hào_sảng dính_dáng,1.0,0.0
5603,non_sông việt_nam trở tươi_đẹp công học_tập,0.0,2.0
8414,người không bth người parky,0.0,1.0
2176,mấy thằng bình luận thất_vọng y_học sai xót sàng_lọc tinh_trùng,0.0,1.0
3214,parky,0.0,1.0
4719,tôi game mấy thằng kiểu parky xúc tôi miền trung,1.0,0.0
7241,paris khinh nam bắc,0.0,2.0
620,vtv park bênh park,1.0,0.0
6648,sức_thống đất kêu parky namkiki,0.0,1.0
4330,đồng vật sinh_vật,0.0,1.0
3075,người parky kh cs học_thức,0.0,1.0
3496,vãi sinh_vật,0.0,1.0
3018,nc việt_nam tan_nát thành hàn_quốc với triều_tiên,0.0,2.0
11494,写真,1.0,2.0
1173,ta quen miệng nam ưa bắc hơi giọng tí,0.0,2.0
8491,cay bọn pháp mỹ hậu_hoạ bọn hào chát hài,0.0,1.0
7501,miền bắc hi_sinh miền nam,0.0,2.0
8164,namky nhậu thâu đêm,0.0,1.0
1982,namky,0.0,1.0
7222,wel done,0.0,1.0
6423,sảy mâu_thuẫn phân_biệt miền,0.0,2.0
2607,ngữ parky parky chả chứng_minh,0.0,1.0
1454,học tai thằng bắc đứng bắc trung nam,0.0,2.0
6346,bắc vô nam nối_liền cánh mời nối_tiếp,0.0,2.0
843,luật_định danh_tài khoản xã_hội cộng bắt máy_chủ việt_nam,0.0,2.0
3008,đứa trẻ mồ_côi parky,0.0,1.0
7294,ngữ đọc hơi nề gọi âm_mưu đồ parky chế_nhạo phân_chia tiếng ta,0.0,1.0
2033,đừng parky,0.0,1.0
4818,không coi trò_đùa_hoá việt_nam không đoàn_kết tưởng,0.0,2.0
3169,parky công_viên,0.0,1.0
2291,tôi không gọi parky đấy bọn namky bh gì,1.0,0.0
3714,sinh_vật hành_tinh chế,0.0,1.0
6629,bây giờ chs game thằng parky được,1.0,0.0
9974,mày không namky,1.0,0.0
4425,yêu tổ_quốc yêu đồng_bào,0.0,2.0
1536,paky,0.0,1.0
